# Constructed from biom file
#OTU ID	Amz22chld.418485	Amz23chld.418722	Amz24chld.418412	Amz25chld.418466	Amz26chld.418481	Amz29adlt.418370	Amz2adltF.418633	Amz30adlt.418837	Amz31adlt.418759	Amz32eldF.418511	Amz33eld.418866	Amz4adltF.418711	Amz4chldM2.418774	Amz5chldF1.418757	Amz5chldF2.418405	Amz5teenF.418519	Amz6chldM.418668	Amz6eldF.418597	Amz6eldM.418356	Amz6teen.418569	Amz7adltF.418395	Amz7eldM.418423	TS1.418828	TS109.418691	TS111.418684	TS127.418550	TS129.418618	TS13.418619	TS163.418636	TS184.418577	TS193.418750	TS195.418848	TS25.418407	TS4.418810	TS7.418860	USchp18Mom.418783	USchp1Mom.418814	USchp25Child.418345	USchp25Mom.418780	USchp33ChildB.418578	USchp36Mom.418718	USchp3Child.418614	USchp3Mom.418727	USchp4Mom.418666	h101M.1.418586	h10M.1.418706	h122M.1.418534	h146M.1.418838	h147M.1.418531	h165M.1.418394	h186M.1.418788	h208M.1.418731	h235M.1.418489	h257M.1.418454	h264M.1.418377	h273M.1.418507	h279M.1.418530	h305M.1.418771	h37M.1.418863	h60M.1.418694	h68M.1.418773	h78M.1.418725	h85M.1.418596	h95M.1.418831	h9M.1.418588	k278A.2.418424
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0	0.0	0.0	0.0	0.00132538104705	0.0	0.0	0.000564015792442	0.0	0.0	0.00657894736842	0.00174520069808	0.0	0.0	0.0	0.000531349628055	0.000351246926589	0.0	0.0036832412523	0.0	0.0	0.000713266761769	0.00121359223301	0.0	0.0	0.000802246289611	0.0	0.0	0.0	0.0	0.0	0.0	0.00286697247706	0.0	0.0	0.0	0.0	0.00048007681229	0.0	0.0	0.0	0.0	0.000872981230904	0.0	0.000469263256687	0.000772200772201	0.0015625	0.0	0.0	0.0	0.000398406374502	0.0	0.00188964474679	0.0	0.00070771408351	0.0	0.0	0.00770547945205	0.0	0.0	0.0	0.0	0.00103680663556	0.000462534690102	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00338409475465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000351246926589	0.0	0.0	0.0	0.0022271714922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015444015444	0.0015625	0.000764818355641	0.00318906605923	0.0	0.00159362549801	0.0	0.000755857898715	0.0	0.00106157112527	0.0	0.0	0.00513698630137	0.00129617627997	0.0	0.0	0.0	0.000518403317781	0.000925069380204	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae];g__vadinCA11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00207039337474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000564015792442	0.0	0.00206825232678	0.0	0.0	0.000615763546798	0.0	0.000528262017961	0.000531349628055	0.0	0.0	0.0	0.0	0.0	0.000713266761769	0.0	0.0	0.0	0.000401123144805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000448631673396	0.0	0.0	0.000436490615452	0.0	0.0	0.000772200772201	0.0	0.0	0.0	0.0	0.000398406374502	0.0	0.0	0.0	0.000353857041755	0.0	0.0	0.0	0.000648088139987	0.0	0.0	0.0	0.0	0.0	0.000501756146513	0.000502260170768
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000394477317554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000423908435778	0.0	0.0	0.000573394495413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000772200772201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000353857041755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000462534690102	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000455580865604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.00471327572663	0.0	0.00520833333333	0.0	0.0337972166998	0.0	0.000699790062981	0.0473773265651	0.0	0.0	0.0	0.0477021524142	0.0215517241379	0.00165562913907	0.0279978869519	0.0212539851222	0.0242360379347	0.0	0.0073664825046	0.0	0.0	0.00855920114123	0.00525889967638	0.0043795620438	0.00157790927022	0.00481347773767	0.0116541353383	0.0134818288394	0.0490196078431	0.0	0.0126732673267	0.0	0.00573394495413	0.0158878504673	0.00319926873857	0.201384881708	0.0686274509804	0.0681709073452	0.0155902004454	0.0134589502019	0.00511207235549	0.0260688216893	0.0152771715408	0.02574002574	0.0	0.0	0.0	0.00038240917782	0.0920273348519	0.000374111485223	0.0	0.000380228136882	0.000377928949358	0.00700525394046	0.000353857041755	0.0	0.000425531914894	0.0	0.0	0.0	0.000355745286375	0.0	0.0	0.0	0.0	0.108488196886
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	0.00706991358995	0.00208333333333	0.0130208333333	0.003367003367	0.0145791915176	0.00275103163686	0.000699790062981	0.0200225606317	0.00534759358289	0.0124095139607	0.00657894736842	0.0133798720186	0.00307881773399	0.00165562913907	0.00581088219757	0.00850159404888	0.00456621004566	0.00907715582451	0.0	0.00621118012422	0.0022271714922	0.00356633380884	0.00283171521036	0.000486618004866	0.00552268244576	0.00200561572403	0.0	0.0	0.0017825311943	0.0	0.0	0.00141793690181	0.00114678899083	0.000467289719626	0.0018281535649	0.000577034045009	0.0	0.00048007681229	0.0011135857461	0.0	0.000786472670075	0.0	0.0	0.001287001287	0.00328484279681	0.0015444015444	0.003125	0.0019120458891	0.00227790432802	0.000748222970445	0.00278884462151	0.00266159695817	0.000755857898715	0.0	0.00283085633404	0.00185804533631	0.0	0.00342465753425	0.00388852883992	0.00105764145955	0.00213447171825	0.000526315789474	0.00155520995334	0.0	0.000501756146513	0.00452034153692
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000404530744337	0.000486618004866	0.00236686390533	0.0	0.000375939849624	0.0	0.00222816399287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046685340803	0.0	0.0	0.0	0.0	0.0	0.000436490615452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.000785545954438	0.0	0.00520833333333	0.0	0.00198807157058	0.00275103163686	0.0	0.00282007896221	0.0160427807487	0.0	0.00657894736842	0.00930773705643	0.000615763546798	0.0	0.00369783412573	0.00531349628055	0.00351246926589	0.00151285930408	0.00184162062615	0.0	0.0022271714922	0.000713266761769	0.000404530744337	0.0	0.0	0.000802246289611	0.00112781954887	0.000586166471278	0.0	0.00423908435778	0.0	0.0	0.00172018348624	0.0	0.00137111517367	0.000577034045009	0.0	0.00144023043687	0.0011135857461	0.000897263346792	0.000786472670075	0.00208550573514	0.00174596246181	0.000643500643501	0.0	0.00694980694981	0.00078125	0.00038240917782	0.000911161731207	0.000748222970445	0.0	0.0	0.0	0.0	0.000353857041755	0.00260126347083	0.0	0.0	0.00194426441996	0.000528820729773	0.0	0.0	0.000518403317781	0.00138760407031	0.0	0.00301356102461
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	0.0	0.0	0.0	0.0016835016835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000973236009732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000457038391225	0.0	0.00046685340803	0.0	0.0	0.0	0.0	0.000521376433785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
