	GN01P.484257	GN07P.o.484246	GN01P.o.484256	GN06P.484247	GN05P.484261	GN08P.484265	GN05P.o.484260	GN06P.o.484262	GN08P.o.484263	GN07P.484259	GN04P.484258	GN04P.o.484251	GN09P.484254	GN09P.o.484264	GN02P.484248	GN03P.484253	GN02P.o.484250	GN03P.o.484249
GN01P.484257	0.0	0.791401490384	0.468272439906	0.773968343632	0.806440895548	0.820643802053	0.792037645709	0.76452004979	0.81209289743	0.788320201656	0.726161499333	0.73079513846	0.831532191299	0.837818051829	0.590233425891	0.68365442184	0.602167364747	0.703990489862
GN07P.o.484246	0.791401490384	0.0	0.760926385855	0.488195332468	0.486690523809	0.508462940657	0.484381534073	0.484189340958	0.507049886252	0.472039409596	0.582156506113	0.551349381921	0.557176139057	0.566154506524	0.698429464849	0.598329539015	0.71888897682	0.659710256437
GN01P.o.484256	0.468272439906	0.760926385855	0.0	0.745895767178	0.773220979874	0.796837438195	0.764183526465	0.742678993622	0.796210892631	0.777696783884	0.705226279187	0.721413182465	0.823282380842	0.819157399079	0.600785921701	0.680729441783	0.619647283128	0.711077387239
GN06P.484247	0.773968343632	0.488195332468	0.745895767178	0.0	0.482262084944	0.56344703648	0.462215105393	0.371306444153	0.549321630502	0.527735804898	0.533680322677	0.523870894718	0.62676720214	0.599155550837	0.700977547284	0.600087207826	0.716012724126	0.627502728059
GN05P.484261	0.806440895548	0.486690523809	0.773220979874	0.482262084944	0.0	0.582009857415	0.433995802146	0.455248398199	0.558928846923	0.530789956732	0.571138693764	0.570175374891	0.641080119293	0.616711677255	0.688517211217	0.608121875612	0.710455624939	0.64206182146
GN08P.484265	0.820643802053	0.508462940657	0.796837438195	0.56344703648	0.582009857415	0.0	0.550090654376	0.573401440264	0.468313871273	0.489829671268	0.631795993959	0.639536960318	0.519165878044	0.538738014413	0.74711851696	0.672848843499	0.774659093887	0.71489320042
GN05P.o.484260	0.792037645709	0.484381534073	0.764183526465	0.462215105393	0.433995802146	0.550090654376	0.0	0.442492057836	0.551716930665	0.543335277667	0.558452637135	0.516541768399	0.624747779849	0.592139733758	0.693401248723	0.58542728546	0.697354982067	0.619248533152
GN06P.o.484262	0.76452004979	0.484189340958	0.742678993622	0.371306444153	0.455248398199	0.573401440264	0.442492057836	0.0	0.563909938965	0.523833319575	0.54032591661	0.517314280531	0.643032088559	0.611975808935	0.696993693644	0.598032073281	0.699120675414	0.61894326296
GN08P.o.484263	0.81209289743	0.507049886252	0.796210892631	0.549321630502	0.558928846923	0.468313871273	0.551716930665	0.563909938965	0.0	0.516855744286	0.654781500546	0.632268773394	0.494563753965	0.521557351911	0.739442120233	0.684502644505	0.771055203643	0.710910229584
GN07P.484259	0.788320201656	0.472039409596	0.777696783884	0.527735804898	0.530789956732	0.489829671268	0.543335277667	0.523833319575	0.516855744286	0.0	0.585723735075	0.576368288973	0.550995399787	0.572764010949	0.705382311295	0.615242656068	0.710432946246	0.657051864239
GN04P.484258	0.726161499333	0.582156506113	0.705226279187	0.533680322677	0.571138693764	0.631795993959	0.558452637135	0.54032591661	0.654781500546	0.585723735075	0.0	0.42409805385	0.682892864044	0.69223782035	0.590732339007	0.501711554038	0.641221837452	0.494287734087
GN04P.o.484251	0.73079513846	0.551349381921	0.721413182465	0.523870894718	0.570175374891	0.639536960318	0.516541768399	0.517314280531	0.632268773394	0.576368288973	0.42409805385	0.0	0.672913574276	0.688604342552	0.585851258278	0.489258157852	0.624794138895	0.510792234439
GN09P.484254	0.831532191299	0.557176139057	0.823282380842	0.62676720214	0.641080119293	0.519165878044	0.624747779849	0.643032088559	0.494563753965	0.550995399787	0.682892864044	0.672913574276	0.0	0.45471028354	0.772921709948	0.70477033529	0.804856753475	0.735777352279
GN09P.o.484264	0.837818051829	0.566154506524	0.819157399079	0.599155550837	0.616711677255	0.538738014413	0.592139733758	0.611975808935	0.521557351911	0.572764010949	0.69223782035	0.688604342552	0.45471028354	0.0	0.786753165556	0.718011774427	0.800511282099	0.746415152115
GN02P.484248	0.590233425891	0.698429464849	0.600785921701	0.700977547284	0.688517211217	0.74711851696	0.693401248723	0.696993693644	0.739442120233	0.705382311295	0.590732339007	0.585851258278	0.772921709948	0.786753165556	0.0	0.518782194514	0.461581575857	0.523776221129
GN03P.484253	0.68365442184	0.598329539015	0.680729441783	0.600087207826	0.608121875612	0.672848843499	0.58542728546	0.598032073281	0.684502644505	0.615242656068	0.501711554038	0.489258157852	0.70477033529	0.718011774427	0.518782194514	0.0	0.533670508742	0.453683734036
GN02P.o.484250	0.602167364747	0.71888897682	0.619647283128	0.716012724126	0.710455624939	0.774659093887	0.697354982067	0.699120675414	0.771055203643	0.710432946246	0.641221837452	0.624794138895	0.804856753475	0.800511282099	0.461581575857	0.533670508742	0.0	0.539221223964
GN03P.o.484249	0.703990489862	0.659710256437	0.711077387239	0.627502728059	0.64206182146	0.71489320042	0.619248533152	0.61894326296	0.710910229584	0.657051864239	0.494287734087	0.510792234439	0.735777352279	0.746415152115	0.523776221129	0.453683734036	0.539221223964	0.0
