	GN01P.484257	GN07P.o.484246	GN01P.o.484256	GN06P.484247	GN05P.484261	GN08P.484265	GN05P.o.484260	GN06P.o.484262	GN08P.o.484263	GN07P.484259	GN04P.484258	GN04P.o.484251	GN09P.484254	GN09P.o.484264	GN02P.484248	GN03P.484253	GN02P.o.484250	GN03P.o.484249
GN01P.484257	0.0	0.493011824679	0.0811470419462	0.492932837994	0.529901496078	0.504624314754	0.51403386846	0.495806022466	0.489444821328	0.493625326751	0.447231566245	0.420723432444	0.494924919986	0.506056002701	0.269055135316	0.425216465202	0.262438232666	0.427790657434
GN07P.o.484246	0.493011824679	0.0	0.491245157914	0.162945589925	0.161890687609	0.186355599279	0.174958034375	0.158253724415	0.179639176661	0.106435454132	0.276875380597	0.262971587037	0.224510434981	0.228696802522	0.389011355936	0.360690676134	0.402574367597	0.357426590678
GN01P.o.484256	0.0811470419462	0.491245157914	0.0	0.497071094398	0.529221933482	0.515454771379	0.513566001589	0.497139385714	0.499722288472	0.495332027568	0.462790416595	0.435528497125	0.501816893467	0.502406560042	0.278810895399	0.43315483911	0.271958741797	0.438160178084
GN06P.484247	0.492932837994	0.162945589925	0.497071094398	0.0	0.149147078462	0.237199004994	0.156032606141	0.111661497117	0.233484305481	0.175513481651	0.232794036806	0.233618912759	0.275823872474	0.297131911247	0.385930337214	0.351491080068	0.406111142732	0.350579784442
GN05P.484261	0.529901496078	0.161890687609	0.529221933482	0.149147078462	0.0	0.265293438501	0.0911513105208	0.122005521974	0.269998278984	0.195236061618	0.274443613878	0.272762351705	0.304386583736	0.320379124446	0.401728421202	0.366005696837	0.424020635678	0.363603042958
GN08P.484265	0.504624314754	0.186355599279	0.515454771379	0.237199004994	0.265293438501	0.0	0.277847964631	0.264521183099	0.0968851772765	0.165337263609	0.301098206806	0.294541818645	0.142637550778	0.180210393313	0.429719677882	0.404474698575	0.445767358054	0.40172802773
GN05P.o.484260	0.51403386846	0.174958034375	0.513566001589	0.156032606141	0.0911513105208	0.277847964631	0.0	0.129467492929	0.276787404516	0.215011428537	0.273909688969	0.261433247997	0.3138888152	0.326855168051	0.385514682268	0.346274438882	0.404018845119	0.34227998961
GN06P.o.484262	0.495806022466	0.158253724415	0.497139385714	0.111661497117	0.122005521974	0.264521183099	0.129467492929	0.0	0.262988840099	0.191954863706	0.262231609542	0.255404097513	0.29755142812	0.309775814166	0.387533759607	0.359271357482	0.404491975721	0.354326624549
GN08P.o.484263	0.489444821328	0.179639176661	0.499722288472	0.233484305481	0.269998278984	0.0968851772765	0.276787404516	0.262988840099	0.0	0.159560751982	0.307343922581	0.28834738339	0.140018757529	0.172133894441	0.418283919253	0.398726600266	0.431895566537	0.390411200515
GN07P.484259	0.493625326751	0.106435454132	0.495332027568	0.175513481651	0.195236061618	0.165337263609	0.215011428537	0.191954863706	0.159560751982	0.0	0.271411322042	0.264312292131	0.200519309099	0.212346010959	0.390508936855	0.36315588619	0.405365854717	0.358398380979
GN04P.484258	0.447231566245	0.276875380597	0.462790416595	0.232794036806	0.274443613878	0.301098206806	0.273909688969	0.262231609542	0.307343922581	0.271411322042	0.0	0.108519123426	0.342024473407	0.376164611645	0.299050109335	0.23176461142	0.307809730168	0.223105116348
GN04P.o.484251	0.420723432444	0.262971587037	0.435528497125	0.233618912759	0.272762351705	0.294541818645	0.261433247997	0.255404097513	0.28834738339	0.264312292131	0.108519123426	0.0	0.326882329123	0.354333837876	0.277398095279	0.223108719378	0.292286586132	0.213828987403
GN09P.484254	0.494924919986	0.224510434981	0.501816893467	0.275823872474	0.304386583736	0.142637550778	0.3138888152	0.29755142812	0.140018757529	0.200519309099	0.342024473407	0.326882329123	0.0	0.0962575325135	0.436400571085	0.413009673085	0.45174621231	0.408239589761
GN09P.o.484264	0.506056002701	0.228696802522	0.502406560042	0.297131911247	0.320379124446	0.180210393313	0.326855168051	0.309775814166	0.172133894441	0.212346010959	0.376164611645	0.354333837876	0.0962575325135	0.0	0.455588853525	0.433718005935	0.466919005227	0.426695891962
GN02P.484248	0.269055135316	0.389011355936	0.278810895399	0.385930337214	0.401728421202	0.429719677882	0.385514682268	0.387533759607	0.418283919253	0.390508936855	0.299050109335	0.277398095279	0.436400571085	0.455588853525	0.0	0.210656564353	0.0786095621469	0.217707245629
GN03P.484253	0.425216465202	0.360690676134	0.43315483911	0.351491080068	0.366005696837	0.404474698575	0.346274438882	0.359271357482	0.398726600266	0.36315588619	0.23176461142	0.223108719378	0.413009673085	0.433718005935	0.210656564353	0.0	0.217096456127	0.0922229560909
GN02P.o.484250	0.262438232666	0.402574367597	0.271958741797	0.406111142732	0.424020635678	0.445767358054	0.404018845119	0.404491975721	0.431895566537	0.405365854717	0.307809730168	0.292286586132	0.45174621231	0.466919005227	0.0786095621469	0.217096456127	0.0	0.219675962881
GN03P.o.484249	0.427790657434	0.357426590678	0.438160178084	0.350579784442	0.363603042958	0.40172802773	0.34227998961	0.354326624549	0.390411200515	0.358398380979	0.223105116348	0.213828987403	0.408239589761	0.426695891962	0.217707245629	0.0922229560909	0.219675962881	0.0
