# Constructed from biom file
#OTU ID	GN01P.484257	GN07P.o.484246	GN01P.o.484256	GN06P.484247	GN05P.484261	GN08P.484265	GN05P.o.484260	GN06P.o.484262	GN08P.o.484263	GN07P.484259	GN04P.484258	GN04P.o.484251	GN09P.484254	GN09P.o.484264	GN02P.484248	GN03P.484253	GN02P.o.484250	GN03P.o.484249
k__Bacteria;p__;c__;o__;f__;g__	0.0	0.00532319391635	0.0	0.0026525198939	0.00541516245487	0.00469483568075	0.0040733197556	0.0037558685446	0.000964320154291	0.00486787204451	0.0015026296018	0.00402900886382	0.00631578947368	0.00519210799585	0.00185185185185	0.00374251497006	0.00125549278092	0.0
k__Bacteria;p__Acidobacteria;c__BPC102;o__B110;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00093896713615	0.0	0.000695410292072	0.0	0.0	0.00315789473684	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__OS-K;o__;f__;g__	0.0	0.0	0.0	0.000884173297966	0.000902527075812	0.0	0.0	0.0	0.000964320154291	0.00347705146036	0.0	0.0	0.00421052631579	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__RB25;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.00093896713615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	0.000601322910403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__	0.000601322910403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	0.000601322910403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111;g__	0.0	0.000760456273764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000695410292072	0.0	0.0	0.0	0.0	0.0	0.000748502994012	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__koll13;g__	0.0	0.0	0.0	0.0	0.0	0.00093896713615	0.0	0.0	0.0	0.000695410292072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000627746390458	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium	0.0	0.0	0.000568828213879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea	0.0	0.0	0.000568828213879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	0.0	0.0	0.000568828213879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
